Gene symbol,Ensembl target ID,Disease name,Disease ID,Open Targets indirect association score,Maximum absolute rescaled effect size,Minimum MAF,Maximum VEP score,Highest clinical phase,Number of unique associated diseases,Number of unique therapeutic areas,Approved (1 = approved),GWAS genetic support (1 = present)
CALCR,ENSG00000004948,obesity,EFO_0001073,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CALCR,ENSG00000004948,postmenopausal osteoporosis,EFO_0003854,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,0
CALCR,ENSG00000004948,osteoporosis,EFO_0003882,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0
CALCR,ENSG00000004948,osteitis deformans,EFO_0004261,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,0
CALCR,ENSG00000004948,parathyroid disease,EFO_0005754,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,0
CALCR,ENSG00000004948,menopause,GO_0042697,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0
CALCR,ENSG00000004948,Osteopenia,HP_0000938,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CALCR,ENSG00000004948,Hypercalcemia,HP_0003072,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,0
CALCR,ENSG00000004948,calcinosis,MONDO_0002123,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CALCR,ENSG00000004948,type 1 diabetes mellitus,MONDO_0005147,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0
CALCR,ENSG00000004948,type 2 diabetes mellitus,MONDO_0005148,0.8801334500312805,0.0345240504705287,0.3236467877016469,0.0,3.0,1.0,1.0,0,1
CALCR,ENSG00000004948,osteoarthritis,MONDO_0005178,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0
MPO,ENSG00000005381,multiple system atrophy,EFO_1001050,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
MPO,ENSG00000005381,amyotrophic lateral sclerosis,MONDO_0004976,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
MPO,ENSG00000005381,Parkinson disease,MONDO_0005180,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
MPO,ENSG00000005381,semantic dementia,MONDO_0010857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
ITGAL,ENSG00000005844,immune system disease,EFO_0000540,0.8554912209510803,0.0975789656121492,0.2901588210955155,0.0,4.0,5.0,3.0,1,1
ITGAL,ENSG00000005844,psoriasis,EFO_0000676,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1,0
ITGAL,ENSG00000005844,rheumatoid arthritis,EFO_0000685,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0,0
