Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
MGI:2444777	MGI	MGI:2444777	Ncaph	non-SMC condensin I complex, subunit H	protein coding gene	ENSMUSG00000034906
MGI:99668	MGI	MGI:99668	Siglec1	sialic acid binding Ig-like lectin 1, sialoadhesin	protein coding gene	ENSMUSG00000027322
MGI:109356	MGI	MGI:109356	Snap23	synaptosomal-associated protein 23	protein coding gene	ENSMUSG00000027287
MGI:1914724	MGI	MGI:1914724	Snap29	synaptosomal-associated protein 29	protein coding gene	ENSMUSG00000022765
MGI:1922877	MGI	MGI:1922877	Snapc1	small nuclear RNA activating complex, polypeptide 1	protein coding gene	ENSMUSG00000021113
MGI:1914861	MGI	MGI:1914861	Snapc2	small nuclear RNA activating complex, polypeptide 2	protein coding gene	ENSMUSG00000011837
MGI:2443935	MGI	MGI:2443935	Snapc4	small nuclear RNA activating complex, polypeptide 4	protein coding gene	ENSMUSG00000036281
MGI:1277151	MGI	MGI:1277151	Snca	synuclein, alpha	protein coding gene	ENSMUSG00000025889
MGI:1889011	MGI	MGI:1889011	Sncb	synuclein, beta	protein coding gene	ENSMUSG00000034891
MGI:104754	MGI	MGI:104754	Sik1	salt inducible kinase 1	protein coding gene	ENSMUSG00000024042
MGI:1352745	MGI	MGI:1352745	Fscn1	fascin actin-bundling protein 1	protein coding gene	ENSMUSG00000029581
MGI:1860188	MGI	MGI:1860188	Snx3	sorting nexin 3	protein coding gene	ENSMUSG00000019804
MGI:1202296	MGI	MGI:1202296	Sorl1	sortilin-related receptor, LDLR class A repeats-containing	protein coding gene	ENSMUSG00000049313
MGI:1338015	MGI	MGI:1338015	Sort1	sortilin 1	protein coding gene	ENSMUSG00000068747
MGI:103559	MGI	MGI:103559	Sox18	SRY (sex determining region Y)-box 18	protein coding gene	ENSMUSG00000046470
MGI:2444120	MGI	MGI:2444120	Spag4	sperm associated antigen 4	protein coding gene	ENSMUSG00000038180
MGI:98373	MGI	MGI:98373	Sparc	secreted acidic cysteine rich glycoprotein	protein coding gene	ENSMUSG00000018593
MGI:1333856	MGI	MGI:1333856	Klf9	Kruppel-like transcription factor 9	protein coding gene	ENSMUSG00000033863
MGI:1858896	MGI	MGI:1858896	Spast	spastin	protein coding gene	ENSMUSG00000024068
MGI:98282	MGI	MGI:98282	Spi1	Spi-1 proto-oncogene	protein coding gene	ENSMUSG00000002111
MGI:109242	MGI	MGI:109242	Spin1	spindlin 1	protein coding gene	ENSMUSG00000021395
MGI:1917232	MGI	MGI:1917232	Spink2	serine peptidase inhibitor, Kazal type 2	protein coding gene	ENSMUSG00000053030
MGI:1349669	MGI	MGI:1349669	Spo11	SPO11 initiator of meiotic double stranded breaks	protein coding gene	ENSMUSG00000005883
MGI:1343085	MGI	MGI:1343085	Spop	speckle-type BTB/POZ protein	protein coding gene	ENSMUSG00000057522
MGI:98389	MGI	MGI:98389	Spp1	secreted phosphoprotein 1	protein coding gene	ENSMUSG00000029304
MGI:106660	MGI	MGI:106660	Sprr1a	small proline-rich protein 1A	protein coding gene	ENSMUSG00000050359
MGI:1330237	MGI	MGI:1330237	Sprr3	small proline-rich protein 3	protein coding gene	ENSMUSG00000045539
MGI:98388	MGI	MGI:98388	Sptbn1	spectrin beta, non-erythrocytic 1	protein coding gene	ENSMUSG00000020315
MGI:1313261	MGI	MGI:1313261	Sptbn2	spectrin beta, non-erythrocytic 2	protein coding gene	ENSMUSG00000067889
MGI:109296	MGI	MGI:109296	Sqle	squalene epoxidase	protein coding gene	ENSMUSG00000022351
MGI:107931	MGI	MGI:107931	Sqstm1	sequestosome 1	protein coding gene	ENSMUSG00000015837
MGI:1344414	MGI	MGI:1344414	Sra1	steroid receptor RNA activator 1	protein coding gene	ENSMUSG00000006050
MGI:98397	MGI	MGI:98397	Src	Rous sarcoma oncogene	protein coding gene	ENSMUSG00000027646
MGI:88215	MGI	MGI:88215	Btg1	BTG anti-proliferation factor 1	protein coding gene	ENSMUSG00000036478
MGI:1350930	MGI	MGI:1350930	Srp9	signal recognition particle 9	protein coding gene	ENSMUSG00000026511
MGI:108384	MGI	MGI:108384	Btg2	BTG anti-proliferation factor 2	protein coding gene	ENSMUSG00000020423
MGI:106657	MGI	MGI:106657	Trim21	tripartite motif-containing 21	protein coding gene	ENSMUSG00000030966
MGI:1920040	MGI	MGI:1920040	Ssbp1	single-stranded DNA binding protein 1	protein coding gene	ENSMUSG00000029911
MGI:1353511	MGI	MGI:1353511	Sspn	sarcospan	protein coding gene	ENSMUSG00000030255
MGI:1913506	MGI	MGI:1913506	Ssr2	signal sequence receptor, beta	protein coding gene	ENSMUSG00000041355
MGI:98326	MGI	MGI:98326	Sst	somatostatin	protein coding gene	ENSMUSG00000004366
MGI:1338881	MGI	MGI:1338881	St14	suppression of tumorigenicity 14 (colon carcinoma)	protein coding gene	ENSMUSG00000031995
MGI:2135548	MGI	MGI:2135548	Il24	interleukin 24	protein coding gene	ENSMUSG00000026420
MGI:1355311	MGI	MGI:1355311	Stag3	STAG3 cohesin complex component	protein coding gene	ENSMUSG00000036928
MGI:103063	MGI	MGI:103063	Stat1	signal transducer and activator of transcription 1	protein coding gene	ENSMUSG00000026104
MGI:3606486	MGI	MGI:3606486	Btn2a2	butyrophilin, subfamily 2, member A2	protein coding gene	ENSMUSG00000053216
MGI:1352508	MGI	MGI:1352508	Stau2	staufen double-stranded RNA binding protein 2	protein coding gene	ENSMUSG00000025920
